stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,bt_id
0397,0397,LAKE OTIS & CORNELL SSE,61.191391,-149.83806,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1729,1729
0398,0398,NORTHERN LIGHTS & LAKE OTIS WNW,61.19553,-149.839335,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1730,1730
0399,0399,NORTHERN LIGHTS & MAPLEWOOD WNW,61.195528,-149.846752,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1731,1731
0400,0400,NORTHERN LIGHTS & GLENWOOD WNW,61.195574,-149.853672,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1732,1732
0401,0401,NORTHERN LIGHTS & LATOUCHE WNW,61.19531,-149.861679,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1733,1733
0402,0402,NORTHERN LIGHTS & GAMBELL ENE,61.195373,-149.869879,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1734,1734
0403,0403,NORTHERN LIGHTS & DENALI ENE,61.19537,-149.875965,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1735,1735
0404,0404,NORTHERN LIGHTS & CORDOVA WNW,61.195355,-149.87924,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1736,1736
0405,0405,NORTHERN LIGHTS & A STREET WNW,61.195353,-149.883969,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1737,1737
0406,0406,NORTHERN LIGHTS & C STREET WNW,61.195404,-149.8875,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1738,1738
0407,0407,NORTHERN LIGHTS & BERING ENE,61.195371,-149.89513,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1739,1739
0408,0408,NORTHERN LIGHTS & ARCTIC WNW,61.195351,-149.898737,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1740,1740
0409,0409,NORTHERN LIGHTS & SPENARD WNW,61.195379,-149.906828,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1741,1741
0410,0410,NORTHERN LIGHTS & MINNESOTA ENE,61.195367,-149.9106,http://bustracker.muni.org/InfoPoint/departures.aspx?stopid=1742,1742
